series_names,release_year,ratings,synopsis,cast,director
The Umbrella Academy,2019,83.0,"On one day in 1989, 43 infants are inexplicably born to random, unconnected women who showed no signs of pregnancy...","Elliot Page, Tom Hopper, David Castañeda, Emmy Raver-Lampman","Steve Blackman, Jeff King, Keith Goldberg, Mike Richardson"
Marvel - Jessica Jones,2015,83.0,"This Netflix original chronicles the life of one of the darker Marvel characters, the mysterious Jessica Jones. When a tragedy...","Krysten Ritter, Rachael Taylor, Eka Darville, Carrie-Anne Moss","Melissa Rosenberg, Jeph Loeb, Stephen Surjik, Jennifer Getzinger"
Challenger: The Final Flight,2020,84.0,"On Jan. 28, 1986, the space shuttle Challenger explodes, engulfing its crew in a ball of flame....",,"J.J. Abrams, Rachel Rusch, Ben Stephenson, Sean M. Stuart"
Making a Murderer,2015,80.0,"Exonerated after spending nearly two decades in prison for a crime he did not commit, Steven Avery filed suit against...",,"Laura Ricciardi, Moira Demos"
Lost in Space,2018,84.0,"""Danger, Will Robinson!"" The rest of the Robinson clan should be on the lookout for danger, as well, because they...","Toby Stephens, Molly Parker, Max Jenkins, Taylor Russell","Matt Sazama, Burk Sharpless, Zack Estrin, Kevin Burns"
The OA,2016,84.0,"In addition to her role as creator and executive producer of this mind-bending series, Brit Marling also plays the role...","Brit Marling, Emory Cohen, Phyllis Smith, Jason Isaacs","Brad Pitt, Dede Gardner, Jeremy Kleiner, Sarah Esberg"
Maniac,2018,84.0,Annie Landsberg and Owen Milgrim are two strangers who are drawn to the late stages of a mysterious pharmaceutical trial....,"Emma Stone, Jonah Hill, Justin Theroux, Sonoya Mizuno",
Ozark,2017,86.0,"Created by Bill Dubuque (""The Accountant,"" ""The Judge""), this drama series stars Jason Bateman as Marty Byrde, a financial planner...","Jason Bateman, Laura Linney, Sofia Hublitz, Skylar Gaertner","Jason Bateman, Chris Mundy, Bill Dubuque, Mark Williams"
Black Mirror,2011,84.0,"Featuring stand-alone dramas -- sharp, suspenseful, satirical tales that explore techno-paranoia -- ""Black Mirror"" is a contemporary reworking of ""The...",,"Annabel Jones, Charlie Brooker"
Wet Hot American Summer: First Day of Camp,2015,85.0,"Counselors and campers check in for what's billed as ""the summer of your life"" at Maine's Camp Firewood in 1981....","Paul Rudd, Amy Poehler, Bradley Cooper, Elizabeth Banks","Michael Showalter, David Wain, Howard Bernstein, Jonathan Stern"
The Society,2019,86.0,"Busloads of Connecticut high school students head off for an extended camping trip, but a storm forces them to return...","Rachel Keller, Kathryn Newton, Alex Fitzalan, Kristine Froseth","Marc Webb, Chris Keyser"
The Innocents,2018,86.0,Teenagers Harry and June are in love with each other and decide to run away from their repressive families so...,"Sorcha Groundsell, Percelle Ascott, Guy Pearce, Sam Hazeldine","Hania Elkington, Simon Duric, Elaine Pyke, Charlie Pattinson"
The Spy,2019,86.0,"This drama tells the astonishing true story of Israel's most prominent spy, Eli Cohen, who infiltrated the Syrian government in...","Sacha Baron Cohen, Noah Emmerich, Hadar Ratzon Rotem, Waleed Zuaiter","Gideon Raff, Bénédicte Bellocq, Axelle Boucaï, Souad Lamriki"
