series_names,release_year,ratings,synopsis,cast,director
Kingdom,2019,96.0,The deceased king rises and a mysterious plague begins to spread; the prince must face a new breed of enemies...,"Bae Doona, Ju Ji-hoon, Ryu Seung-ryong, Kim Sang-ho","Kim Seong-hun, Park In-Je"
Gentefied,2020,96.0,"In Los Angeles, three Mexican-American cousins chase the American Dream, even while that dream threatens the things they hold most...","Joaquín Cosio, J.J. Soria, Karrie Martin, Carlos Santos","Marvin Lemus, Linda Yvette Chávez, Monica Macer, Aaliyah Williams"
Unorthodox,2020,96.0,"A woman flees an arranged marriage in Brooklyn to start a new life abroad, then her past catches up to...","Shira Haas, Amit Rahav, Jeff Wilbusch, Aaron Altaras",Maria Schrader
The Queen's Gambit,2020,96.0,"Set during the Cold War era, orphaned chess prodigy Beth Harmon struggles with addiction in a quest to become the...","Anya Taylor-Joy, Marielle Heller, Thomas Brodie-Sangster, Moses Ingram","Scott Frank, Allan Scott, Bill Horberg"
A Series of Unfortunate Events,2017,96.0,"This series follows the tragic tale of three orphans -- Violet, Klaus, and Sunny Baudelaire -- who are investigating their...","Neil Patrick Harris, Patrick Warburton, Malina Weissman, Louis Hynes","Barry Sonnenfeld, Daniel Handler, Rose Lam"
Unbreakable Kimmy Schmidt,2015,96.0,"Rescued after 15 years in a cult, Kimmy Schmidt decides to reclaim her life by venturing to New York, where...","Ellie Kemper, Tituss Burgess, Jane Krakowski, Carol Kane","Tina Fey, Robert Carlock, Jeff Richmond, David Miner"
Hellbound,2021,97.0,"Unearthly beings deliver condemnations, sending individuals to hell and giving rise to a religious group founded on the idea of...","Yoo Ah-in, Kim Hyun-joo, Won Jin-ah, Park Jung-min",
Call My Agent!,2015,,"At a Paris talent firm, agents scramble to keep their star clients happy and their business afloat....","Camille Cottin, Thibault de Montalembert, Gregory Montel, Liliane Rovère","Antoine Garceau, Marc Fitoussi"
The Keepers,2017,97.0,"Netflix's latest docuseries tackles the unsolved murder of Cathy Cesnik, a beloved nun and Catholic high school teacher in Baltimore....",,"Ryan White, Ryan White, Jessica Hargrave, Josh Braun"
Elite,2018,97.0,"When three working-class teens enroll in an exclusive private school in Spain, the clash between them and the wealthy students...","Arón Piper, Miguel Bernardeau, Ester Expósito, Itzan Escamilla","Ramón Salazar, Dani De La Orden"
Lady Dynamite,2016,97.0,"Maria Bamford stars as a fictionalized version of herself in this comedy, loosely based on what the dynamic comic and...","Maria Bamford, Fred Melamed, Mary Kay Place, Ana Gasteyer","Pam Brady, Mitch Hurwitz, Maria Bamford, Kristen Zolner"
Lupin,2021,97.0,"A retelling of the classic French story about Arsène Lupin, the world-famous gentleman thief and master of disguise....","Omar Sy, Ludivine Sagnier, Clotilde Hesme, Nicole Garcia","Marcela Said, Ludovic Bernard, Louis Leterrier"
She-Ra and the Princesses of Power,2018,97.0,"In this reboot of the 1980s series, a magic sword transforms an orphan girl into warrior She-Ra, who unites a...","Aimee Carrero, Karen Fukuhara, AJ Michalka, Marcus Scribner","Jen Bennett, Roy Burdine, Noelle Stevenson, Chuck Austen"
Sweet Tooth,2021,97.0,"On a perilous adventure in a post-apocalyptic world, a boy who's half-human and half deer searches for a new beginning...","Christian Convery, Nonso Anozie, Adeel Akhtar, Stefania LaVie Owen","Beth Schwartz, Jim Mickle, Robert Downey Jr., Susan Downey"
When They See Us,2019,97.0,"In 1989 a jogger was assaulted and raped in New York's Central Park, and five young people were subsequently charged...","Michael K. Williams, Vera Farmiga, John Alberto Leguizamo, Felicity Huffman","Ava DuVernay, Jeff Skoll, Jonathan King, Oprah Winfrey"
Russian Doll,2019,97.0,"Emmy-nominated actress Natasha Lyonne stars in this comedy-drama series as Nadia, a young woman who is on a journey to...","Natasha Lyonne, Greta Lee, Yul Vazquez, Elizabeth Ashley","Natasha Lyonne, Amy Poehler, Leslye Headland"
Mindhunter,2017,97.0,Catching a criminal often requires the authorities to get inside the villain's mind to figure out how he thinks. That's...,"Jonathan Groff, Holt McCallany, Anna Torv, Joe Tuttle","David Fincher, Joshua Donen, Charlize Theron, Ceán Chaffin"
Special,2019,98.0,"Actor-writer Ryan O'Connell stars in this semi-autobiographical series based on his memoir. He plays Ryan, a gay man with cerebral...","Ryan O'Connell, Jessica Hecht, Punam Patel, Marla Mindelle","Ryan O'Connell, Jim Parsons, Eric Norsoph, Todd Spiewak"
Nailed It!,2018,,Home bakers who have a poor track record in the kitchen seek redemption -- and cash -- on this series....,"Nicole Byer, Jacques Torres","Dan Cutforth, Jane Lipsitz, Casey Kriley, Gayle Gawlowski"
Scrotal Recall,2014,98.0,"Dylan, a 20-something romantic, has been intimate with a long list of women during his quest for true love. When...","Johnny Flynn, Antonia Thomas, Daniel Ings, Joshua McGuire","Elliot Hegarty, Gordon Anderson, Murray Ferguson, Andy Baker"
Five Came Back,2017,98.0,Filmmakers who risked their lives during World War II to serve their country and expose the truth....,"Meryl Streep, Francis Ford Coppola, Guillermo del Toro","Laurent Bouzereau, Steven Spielberg, Scott Rudin, Barry Diller"
Wild Wild Country,2018,98.0,"When a controversial guru builds a utopian city in the Oregon desert, it causes a massive conflict with local ranchers....",,"Mark Duplass, Jay Duplass"
I Think You Should Leave With Tim Robinson,2019,98.0,Actor Tim Robinson stars in this sketch comedy series -- which he also co-created -- that sees him trying to...,Tim Robinson,"Alice Mathias, Akiva Schaffer"
Unbelievable,2019,98.0,"When a teen reports being raped, then recants her story, two female detectives follow evidence that could reveal the truth;...","Kaitlyn Dever, Toni Collette, Merritt Wever","Susannah Grant, Sarah Timberman, Carl Beverly, Lisa Cholodenko"
American Vandal,2017,98.0,"True-crime series are gaining popularity on TV so, of course, there was bound to be a satire of the genre....","Tyler Alvarez, Griffin Gluck, Travis Tope, Taylor Dearden","Tony Yacenda, Daniel Perrault, Dan Lagana, Joe Farrell"
Alias Grace,2017,99.0,"Based on the 1996 Margaret Atwood novel of the same name, ""Alias Grace"" tells the story of young Grace Marks,...","Sarah Gadon, Kerr Logan, Paul Gross, Anna Paquin","Mary Harron, Noreen Halpern"
Tuca & Bertie,2019,99.0,This animated comedy series explores the friendship between two 30-year-old bird women who live in the same apartment building. The...,"Tiffany Haddish, Ali Wong, Steven Yeun","Lisa Hanawalt, Raphael Bob-Waksberg, Noel Bright, Steven A. Cohen"
Big Mouth,2017,99.0,"Even for a cartoon character, going through puberty isn't easy for a young person. Andrew is learning that first hand...","Nick Kroll, John Mulaney, Jessi Klein, Jason Mantzoukas","Nick Kroll, Andrew Goldberg, Mark Levin, Jennifer Flackett"
One Day at a Time,2017,99.0,"This comedy-drama is inspired by Norman Lear's 1975 series of the same name. This time around, the series follows the...","Rita Moreno, Justina Machado, Stephen Tobolowsky, Todd Grinnell","Norman Lear, Mike Royce, Gloria Calderon Kellett, Michael Garcia"
Nadiya Bakes,2020,100.0,"Nadiya Hussain shares her love of baking with some of her favorite recipes, from delightful cakes to heavenly breads....",Nadiya Hussain,"Katy Fryer, Anna Miralis, Katy Fryer"
Tales of the City,1993,100.0,"Based on Armistead Maupin's novels, this drama chronicles life in liberated 1970s San Francisco....","Olympia Dukakis, Donald Moffat, Chloe Webb, Laura Linney",
Amend: The Fight for America,2021,100.0,"An exploration of the Fourteenth Amendment as the most enduring hallmark of democracy in the United States; with Mahershala Ali,...","Will Smith, Larry Wilmore, Mahershala Ali, Diane Lane","Will Smith, Larry Wilmore"
Crazyhead,2016,100.0,A twentysomething woman who can see demons joins a hunter on a quest to end the demon threat....,"Cara Theobold, Susan Wokoma, Riann Steele, Lewis Reeves","Al Mackay, Johnny Capps"
Middleditch & Schwartz,2020,100.0,"Comedy duo Thomas Middleditch and Ben Schwartz improvise performances based on audience suggestions, from NYU Skirball Center for the Performing...","Thomas Middleditch, Ben Schwartz",
Maya and the Three,2021,100.0,A spirited princess with the heart of a warrior embarks on a mission to fulfill an ancient prophecy and save...,"Zoe Saldana, Gabriel ""Fluffy"" Iglesias, Allen Maldonado, Stephanie Beatriz","Jorge R. Gutierrez, Jeff Bell, Ken Zorniak, Phyllis Laing"
Lenox Hill,2020,100.0,The lives of four doctors as they navigate the highs and lows of working at Lenox Hill Hospital in New...,"John Boockvar, David Langer, Mirtha Macri, Amanda Little-Richardson","Adi Barash, Josh Braun, Zana Lawrence, Ruthie Shatz"
The Confession Killer,2019,100.0,"In the 1980s, Henry Lee Lucas confessed to hundreds of murders, which allowed grieving families to get closure for the...",Nan Cuba,"Robert Kenner, Taki Oldham, Melissa Robledo, Robert Kenner"
Blood of Zeus,2020,100.0,"Chronicles the illegitimate son of Zeus, a young man tasked with saving heaven and earth despite the interference of a...","Derek Phillips, Jason O'Mara, Mamie Gummer, Chris Diamantopoulos","Charles Parlapanides, Vlas Parlapanides"
Dirty Money,2018,100.0,"There's a cliche that says ""the rich get richer,"" and while that may be true it's not always done through...",,
Immigration Nation,2020,100.0,"A deep look at the state of U.S. immigration, utilizing unprecedented access to ICE operations and moving portraits of immigrants....",,"Christina Clusiau, Dan Cogan, Brandon Hill, Jenny Raskin"
Giri/Haji,2019,100.0,"Translating to Duty/Shame and set in both Tokyo and London, ""Giri/Haji"" is a thriller about a Tokyo detective named Kenzo...","Takehiro Hira, Kelly Macdonald, Yôsuke Kubozuka, Will Sharpe","Julian Farino, Jane Featherstone, Chris Fry, Joe Barton"
Arcane: League of Legends,2021,100.0,"The origins of two iconic League champions, set in the utopian Piltover and the oppressed underground of Zaun....","Hailee Steinfeld, Katie Leung, Kevin Alejandro, Jason Spisak","Brandon Beck, Marc Merrill, Nicolo Laurent, Jane Chung"
Ugly Delicious,2018,100.0,James Beard Award-winning chef David Chang stars in this travelogue that sends him on a journey to culinary hot spots...,David Chang,"Morgan Neville, David Chang, Eddie Schmidt, Peter Meehan"
Dash & Lily,2020,100.0,"A whirlwind Christmas romance builds as cynical Dash and optimistic Lily trade dares, dreams and desires in the notebook they...","Austin Abrams, Midori Francis, Dante Brown, Troy Iwata","Shawn Levy, Josh Barry, Nick Jonas, Brad Silberling"
Mystery Science Theater 3000: The Return,2017,100.0,"The cult classic TV show is back! Comic Jonah Ray plays the role of Jonah Heston, a hapless human who...","Jonah Ray, Felicia Day, Patton Oswalt, Hampton Yount",
Feel Good,2020,100.0,Recovering addict and comic Mae tries to control the addictive behaviors and intense romanticism that permeate her life; her efforts...,"Mae Martin, Charlotte Ritchie, Sophie Thompson, Lisa Kudrow","Ally Pankiw, Ben Farrell, Hannah MacKay, Toby Stevens"
The Baby-Sitters Club,2020,100.0,A group of friends launch a babysitting business....,"Sophie Grace, Malia Baker, Momona Tamada, Shay Rudolph","Lucia Aniello, Naia Cucukov, Michael De Luca, Lucy Winn Kitada"
