company_name,rating,company_type,company_headquarters,company_age,no_of_employees,other_details
Larsen & Toubro In...,3.9,Public,"Mumbai,Maharashtra + 73 more",26 years old,26 years old,"IT Services & Consulting, Conglomerate, Public, Mumbai,Maharashtra"
Vivo,4.1,Private,"Gurgaon/Gurugram,Haryana + 286 more",13 years old,13 years old,"Consumer goods, Manufacturing, Electronics, Consumer Electronics & Appliances, Conglomerate"
Aurobindo Pharma,4.1,Public,"Hyderabad/Secunderabad,Telangana + 41 more",36 years old,36 years old,"Biotechnology, Pharmaceutical & Life Sciences, Fortune500, Public, Hyderabad/Secunderabad,Telangana"
Nokia,4.3,Private,"Espoo,Southern Finland + 159 more",157 years old,157 years old,"Manufacturing, Telecom / ISP, Electronics, Forbes Global 2000"
Wipro BPS,3.8,Bengaluru + 30 more,22 years old,1 Lakh+ employees (India),1 Lakh+ employees (India),"BPO/KPO, IT Services & Consulting, Bengaluru"
PwC,3.6,Partnership,London + 56 more,24 years old,24 years old,"Consulting, Accounting / Auditing, Conglomerate"
Oyo Rooms,3.6,Private,Gurgaon + 98 more,9 years old,9 years old,"Internet, Hotels & Restaurants, Unicorn, Gurgaon"
TVS Motor,4.1,Public,"Chennai,Tamil Nadu + 213 more",43 years old,43 years old,"Automobile, Manufacturing, Urban Transport, Fortune500, Public, Chennai,Tamil Nadu"
Siemens,4.1,Public,Munich + 90 more,30 years old,30 years old,"Manufacturing, Power, Electronics, IT Services & Consulting, Conglomerate, Fortune500, Forbes Global 2000, Public"
BYJU'S,3.1,Private,Bangalore + 102 more,11 years old,11 years old,"Education / Training, e-Learning / EdTech, Unicorn, Bangalore"
eClerx,3.6,Public,"Mumbai,Maharashtra + 15 more",22 years old,22 years old,"IT Services & Consulting, Public, Mumbai,Maharashtra"
KPMG,3.7,Partnership,"Amstelveen,North Holland + 47 more",35 years old,35 years old,"Consulting, Analytics / KPO / Research, Accounting / Auditing"
JP Morgan Chase,4.1,Private,"New York,New York + 16 more",22 years old,22 years old,"Financial Services, Investment Banking / Venture Capital / Private Equity, Fortune500, Forbes Global 2000"
Max Life Insurance,4.2,"Gurgaon/Gurugram,Haryana + 232 more",22 years old,10k-50k employees (India),10k-50k employees (India),"Consumer goods, Financial Services, Manufacturing, Insurance, Gurgaon/Gurugram,Haryana"
Cyient,3.7,Public,"Hyderabad/Secunderabad,Telangana + 25 more",31 years old,31 years old,"Manufacturing, Engineering & Construction, IT Services & Consulting, Fortune500, Public, Hyderabad/Secunderabad,Telangana"
Hero MotoCorp,4.2,Public,"Gurgaon/Gurugram,Haryana + 229 more",38 years old,38 years old,"Automobile, Manufacturing, Fortune500, Public, Gurgaon/Gurugram,Haryana"
Hyundai Motor,4.1,Private,Seoul + 200 more,55 years old,55 years old,"Automobile, Industrial Equipment / Machinery, Manufacturing, Conglomerate, Fortune500, Forbes Global 2000"
Atos Syntel,3.7,Private,"Troy,Michigan + 14 more",42 years old,42 years old,IT Services & Consulting
Bandhan Bank,3.9,Public,"Kolkata,West Bengal + 412 more",21 years old,21 years old,"Financial Services, Banking, Fortune500, Public, Kolkata,West Bengal"
Mindtree,4.0,Public,"Bangalore/Bengaluru,Karnataka + 20 more",23 years old,23 years old,"BPO/KPO, IT Services & Consulting, Fortune500, Public, Bangalore/Bengaluru,Karnataka"
JLL,4.2,Private,"Mumbai,Maharashtra + 53 more",25 years old,25 years old,"Real Estate, Engineering & Construction, Forbes Global 2000, Mumbai,Maharashtra"
Oracle,3.8,Public,"Redwood City,California + 26 more",45 years old,45 years old,"IT Services & Consulting, Software Product, Forbes Global 2000, Public"
JustDial,3.7,Public,"Mumbai,Maharashtra + 110 more",26 years old,26 years old,"Internet, Public, Mumbai,Maharashtra"
Bosch,4.2,Public,"Gerlingen,Baden-Wuerttemberg + 74 more",136 years old,136 years old,"Industrial Equipment / Machinery, Engineering & Construction, Consumer Electronics & Appliances, IT Services & Consulting, Auto Components, Conglomerate, Fortune500, Public"
